"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal"
571948,2023,4,"CH/FF/SI/ST",12,9243,0.317299053798085,0.845106663394883,0.581202858596485
670950,2023,2,"CH/FF",2,4053,0.277365209609328,0.885038692627209,0.581201951118268
661527,2023,4,"CH/FF/SI/ST",12,6876,0.289967172516284,0.872218311422627,0.581092741969456
672578,2024,5,"FF/FS/KC/SL/ST",20,6720,0.263767072545666,0.898399107405237,0.581083089975452
691172,2024,3,"FF/SI/SL",6,1692,0.279655365110037,0.882465971720061,0.581060668415049
656924,2024,3,"FF/SI/SL",6,2034,0.269625194343684,0.892442053145664,0.581033623744674
605483,2025,4,"CH/CU/FF/SL",12,9252,0.256396810254669,0.905647181282011,0.58102199576834
595014,2025,4,"FC/FF/SI/ST",12,4599,0.245927586624149,0.916086325672064,0.581006956148106
669432,2024,4,"CH/FF/SI/SL",12,20187,0.312404841137084,0.849554813102119,0.580979827119601
677076,2023,3,"CH/FF/SL",6,510,0.256135857317504,0.905813474231551,0.580974665774528
641726,2024,5,"CH/FC/FF/SI/SL",20,3372,0.315157577295208,0.84658721372091,0.580872395508059
673929,2025,3,"FF/FS/SL",6,6780,0.282186525232998,0.879267227101649,0.580726876167323
681806,2023,4,"CH/FC/FF/ST",12,5904,0.2793421733362,0.882050211201062,0.580696192268631
571948,2024,4,"CH/FF/SI/ST",12,9333,0.308744801375635,0.85264105159783,0.580692926486733
542888,2024,5,"FC/FF/SI/ST/SV",20,13308,0.290599797424642,0.870536535626311,0.580568166525477
669212,2025,3,"CH/FF/SL",6,792,0.268805835697876,0.892182680326357,0.580494258012117
592779,2025,5,"CH/FC/FF/SI/ST",20,7320,0.287137298882876,0.873746116491036,0.580441707686956
681432,2024,2,"FF/ST",2,1290,0.201996883607277,0.958846696996853,0.580421790302065
676596,2024,4,"CH/CU/FC/SI",12,4779,0.301583405331668,0.859007664566524,0.580295534949095
680694,2025,4,"CU/FF/SI/SL",12,4446,0.254980368627871,0.90556392405124,0.580272146339556
689958,2025,2,"FF/SL",2,87,0.216776551326846,0.943692213196732,0.580234382261789
